epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc
0,0.052268916785925025,0.9978565474536578,0.9989271238973217,0.004540055720625739,1.0,1.0,
1,0.013983958933223512,0.9981344024133688,0.9990663302806969,0.002485007139560031,1.0,1.0,
2,0.013669769724046215,0.9981344024133688,0.9990663302806969,0.0019450573875617824,1.0,1.0,
3,0.013733953509366301,0.9981344024133688,0.9990663302806969,0.0018430075969694084,1.0,1.0,
4,0.013709678742171827,0.9981344024133688,0.9990663302806969,0.0017355150224542932,1.0,1.0,
5,0.013655374394812465,0.9981344024133688,0.9990663302806969,0.00184383077890073,1.0,1.0,
6,0.0135941547120042,0.9981344024133688,0.9990663302806969,0.0017767124839960353,1.0,1.0,
7,0.01370996000749877,0.9981344024133688,0.9990663302806969,0.001813810723098485,1.0,1.0,
8,0.01377548988870709,0.9981344024133688,0.9990663302806969,0.0016935032633084216,1.0,1.0,
9,0.013700991777967908,0.9981344024133688,0.9990663302806969,0.002244971870248647,1.0,1.0,
10,0.013646779019033375,0.9981344024133688,0.9990663302806969,0.001905141082763868,1.0,1.0,
11,0.013607585060157279,0.9981344024133688,0.9990663302806969,0.0020603397064597197,1.0,1.0,
12,0.013749248464296331,0.9981344024133688,0.9990663302806969,0.002009036822097474,1.0,1.0,
13,0.013479447555149135,0.9981344024133688,0.9990663302806969,0.0018915720682248082,1.0,1.0,
14,0.013598256521364248,0.9981344024133688,0.9990663302806969,0.0018573813171027915,1.0,1.0,
15,0.013621993534867344,0.9981344024133688,0.9990663302806969,0.001766749443241248,1.0,1.0,
16,0.013354361501077975,0.9981344024133688,0.9990663302806969,0.001518502393369808,1.0,1.0,
17,0.013435261958422906,0.9981344024133688,0.9990663302806969,0.0025442760854371286,1.0,1.0,
18,0.013250560424087314,0.9981344024133688,0.9990663302806969,0.001707147430064843,1.0,1.0,
19,0.01296592864481529,0.9981344024133688,0.9990663302806969,0.0016304696052286186,1.0,1.0,
